index,x,y,z
463,-286.8740234375,-132.20388793945312,0.0
464,-288.9844665527344,-131.59701538085938,0.0
465,-291.0849304199219,-130.95643615722656,0.0
466,-293.1748962402344,-130.2823486328125,0.0
467,-295.2538146972656,-129.5749053955078,0.0
468,-297.3211364746094,-128.83428955078125,0.0
469,-299.3763122558594,-128.06068420410156,0.0
470,-301.41888427734375,-127.25431823730469,0.0
471,-303.44830322265625,-126.41535949707031,0.0
472,-305.4640197753906,-125.5440444946289,0.0
473,-307.46551513671875,-124.64058685302734,0.0
474,-309.45233154296875,-123.7052230834961,0.0
475,-311.4239196777344,-122.73818969726562,0.0
476,-313.3797912597656,-121.73974609375,0.0
477,-315.3194274902344,-120.71012878417969,0.0
478,-317.2423400878906,-119.64960479736328,0.0
479,-319.1480712890625,-118.55845642089844,0.0
480,-321.0360412597656,-117.43696594238281,0.0
481,-322.9058837890625,-116.28540802001953,0.0
482,-324.75701904296875,-115.10408020019531,0.0
483,-326.58905029296875,-113.89328002929688,0.0
484,-328.4014587402344,-112.65333557128906,0.0
485,-330.1938171386719,-111.38453674316406,0.0
486,-331.96563720703125,-110.08724212646484,0.0
487,-333.7164306640625,-108.76175689697266,0.0
488,-335.4458312988281,-107.40843200683594,0.0
489,-337.15338134765625,-106.02760314941406,0.0
490,-338.8385925292969,-104.61964416503906,0.0
491,-340.5010681152344,-103.18489074707031,0.0
492,-342.1403503417969,-101.72372436523438,0.0
493,-343.756103515625,-100.23651885986328,0.0
494,-345.3478088378906,-98.72366333007812,0.0
495,-346.91510009765625,-97.1855239868164,0.0
496,-348.45758056640625,-95.62251281738281,0.0
497,-349.9748840332031,-94.0350112915039,0.0
498,-351.4665832519531,-92.42344665527344,0.0
499,-352.93231201171875,-90.78822326660156,0.0
500,-354.3716735839844,-89.1297607421875,0.0
501,-355.7843322753906,-87.44847106933594,0.0
502,-357.169921875,-85.74480438232422,0.0
503,-358.5280456542969,-84.01918029785156,0.0
504,-359.8583984375,-82.27204895019531,0.0
